id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.9473684210526315,0.05263157894736842,0.0,19,18,1,0,0,0,-1.0
2,4.0,0.043478260869565216,0.8260869565217391,0.005,23,1,19,2,3,0,0.0
3,8.0,0.0,0.8571428571428571,0.0,14,0,12,0,2,0,0.0
4,6.929,0.3076923076923077,0.6538461538461539,0.0125,26,8,17,5,1,1,0.083
5,8.0,0.09090909090909091,0.8636363636363636,0.0025,22,2,19,1,1,0,0.167
6,6.929,0.22727272727272727,0.7272727272727273,0.015,22,5,16,6,1,1,0.25
7,8.0,0.5185185185185185,0.48148148148148145,0.01,27,14,13,4,0,2,0.333
8,6.929,0.10344827586206896,0.8275862068965517,0.005,29,3,24,2,2,2,0.417
9,4.0,0.8,0.2,0.0025,25,20,5,1,0,2,0.333
10,4.0,0.34615384615384615,0.6153846153846154,0.0125,26,9,16,5,1,3,0.167
11,4.0,0.8571428571428571,0.14285714285714285,0.0025,14,12,2,1,0,1,0.5
12,8.0,0.3076923076923077,0.6153846153846154,0.005,13,4,8,2,1,3,0.5
13,6.929,0.26666666666666666,0.6666666666666666,0.0025,15,4,10,1,1,2,0.583
14,4.0,0.45,0.55,0.0,20,9,11,0,0,3,0.667
15,4.0,0.42857142857142855,0.5714285714285714,0.0025,21,9,12,1,0,1,0.833
16,6.929,0.06666666666666667,0.8333333333333334,0.0,30,2,25,0,3,0,0.917
17,8.0,0.0,0.8421052631578947,0.0,19,0,16,0,3,0,0.833
18,6.929,0.0,0.9166666666666666,0.0025,24,0,22,1,2,0,0.75
19,8.0,0.0,1.0,0.0,11,0,11,0,0,0,0.667
