location,ecc,orientation,hit_rate,miss_rate,n_present
1,0.0,-1.0,0.9178341537296478,0.07004922377887164,2641
2,4.0,0.0,0.31266342921180423,0.6257004109077325,2677
3,8.0,0.0,0.05,0.8751879699248121,2660
4,6.929,0.083,0.29852996607614024,0.6373916321145873,2653
5,8.0,0.167,0.041828040278853604,0.8884585592563904,2582
6,6.929,0.25,0.2342724816673099,0.6993438826707835,2591
7,8.0,0.333,0.34067663257277736,0.5967741935483871,2542
8,6.929,0.417,0.18545043347154166,0.7489634376177912,2653
9,4.0,0.333,0.8253223915592028,0.16178194607268465,2559
10,4.0,0.167,0.3799310608962084,0.5645346610494063,2611
11,4.0,0.5,0.8681767545488303,0.1162272558484961,2693
12,8.0,0.5,0.5007610350076104,0.4520547945205479,2628
13,6.929,0.583,0.5123753232360547,0.43923162172146285,2707
14,4.0,0.667,0.7004252029377658,0.26942404329339004,2587
15,4.0,0.833,0.47382397572078905,0.4757207890743551,2636
16,6.929,0.917,0.08931185944363104,0.8228404099560761,2732
17,8.0,0.833,0.0,0.9115250291036089,2577
18,6.929,0.75,0.06284153005464481,0.8622170179547228,2562
19,8.0,0.667,0.03211517165005537,0.8737541528239202,2709
